YearMonth,Description,Revenue
2010-08,RED RETROSPOT CAKE STAND,3608.15
2010-08,JUMBO BAG PINK VINTAGE PAISLEY,3408.11
2010-08,SET/5 RED SPOTTY LID GLASS BOWLS,3368.67
2010-08,EDWARDIAN PARASOL NATURAL,3281.38
2010-08,PAPER BUNTING RETRO SPOTS,3189.61
2010-08,DOORMAT FAIRY CAKE,3014.4
2010-08,DOORMAT UNION FLAG,2998.79
2010-08,PLEASE ONE PERSON METAL SIGN,2977.8100000000004
2010-08,JUMBO  BAG BAROQUE BLACK WHITE,2961.74
2010-08,DOORMAT RED SPOT,2936.0
2010-08,WOOD BLACK BOARD ANT WHITE FINISH,2924.3399999999997
2010-08,PACK OF 72 RETRO SPOT CAKE CASES,2911.98
2010-08,VINTAGE UNION JACK BUNTING,2902.07
2010-08,HOME BUILDING BLOCK WORD,2854.44
2010-08,DOORMAT NEW ENGLAND,2835.68
2010-08,CHARLOTTE BAG SUKI DESIGN,2825.7
2010-08,ROUND SNACK BOXES SET OF 4 FRUITS ,2810.2400000000002
2010-08,EDWARDIAN PARASOL BLACK,2802.41
2010-08,POSTAGE,2768.88
2010-08,LUNCH BAG CARS BLUE,2746.84
2010-08,JUMBO SHOPPER VINTAGE RED PAISLEY,2741.64
2010-08,HEART OF WICKER SMALL,2734.69
2010-08,JUMBO BAG SCANDINAVIAN PAISLEY,2539.32
2010-08,HEART OF WICKER LARGE,2456.7400000000002
2010-08,PAPER BUNTING WHITE LACE,2441.46
2010-08,LUNCH BAG SUKI  DESIGN ,2437.58
2010-08,DOORMAT TOPIARY,2424.02
2010-08,BLACK HEART CARD HOLDER,2421.4
2010-08,LUNCH BAG  BLACK SKULL.,2336.72
2010-08,WOODEN FRAME ANTIQUE WHITE ,2300.65
2010-08,DOORMAT AIRMAIL ,2298.06
2010-08,STRAWBERRY CERAMIC TRINKET BOX,2270.08
2010-08,ZINC METAL HEART DECORATION,2265.96
2010-08,SET OF 3 BLUE STRIPE BASKET,2255.9700000000003
2010-08,RED  HARMONICA IN BOX ,2086.01
2010-08,LUNCH BAG WOODLAND,2080.2
2010-09,Manual,41085.049999999996
2010-09,REGENCY CAKESTAND 3 TIER,24771.17
2010-09,JUMBO BAG RED RETROSPOT,13620.53
2010-09,WHITE HANGING HEART T-LIGHT HOLDER,11895.17
2010-09,ASSORTED COLOUR BIRD ORNAMENT,6841.21
2010-09,VINTAGE UNION JACK BUNTING,6505.78
2010-09,DOTCOM POSTAGE,6436.58
2010-09,ROTATING SILVER ANGELS T-LIGHT HLDR,5083.63
2010-09,VINTAGE UNION JACK CUSHION COVER,5033.629999999999
2010-09,HEART OF WICKER LARGE,4902.34
2010-09,PAPER CHAIN KIT VINTAGE CHRISTMAS,4541.77
2010-09,POSTAGE,4404.0
2010-09,SET OF 6 RIBBONS VINTAGE CHRISTMAS,4176.7
2010-09,PHARMACIE FIRST AID TIN,4135.160000000001
2010-09,VINTAGE UNION JACK DOORSTOP,4034.51
2010-09,JUMBO BAG STRAWBERRY,3886.63
2010-09,PARTY BUNTING,3873.57
2010-09,JUMBO BAG PINK WITH WHITE SPOTS,3819.49
2010-09,JUMBO STORAGE BAG SUKI,3793.77
2010-09,JUMBO  BAG BAROQUE BLACK WHITE,3734.59
2010-09,JUMBO BAG SCANDINAVIAN PAISLEY,3711.3
2010-09,HAND WARMER RED POLKA DOT,3707.4
2010-09,JUMBO BAG PINK VINTAGE PAISLEY,3620.79
2010-09,PLEASE ONE PERSON METAL SIGN,3559.3700000000003
2010-09,JUMBO SHOPPER VINTAGE RED PAISLEY,3540.67
2010-09,OPEN CLOSED METAL SIGN,3522.6000000000004
2010-09,JUMBO BAG OWLS,3462.88
2010-09,KINGS CHOICE BISCUIT TIN,3435.2799999999997
2010-09,JUMBO BAG WOODLAND ANIMALS,3291.06
2010-09,PAPER CHAIN KIT 50'S CHRISTMAS ,3267.07
2010-09,SET/4 WHITE RETRO STORAGE CUBES ,3207.06
2010-09,LUNCH BAG RED SPOTTY,3033.72
2010-09,JUMBO BAG SPACEBOY DESIGN,2965.61
2010-09,CHILLI LIGHTS,2921.72
2010-09,GRAND CHOCOLATECANDLE,2878.85
2010-09,BOX OF VINTAGE ALPHABET BLOCKS,2832.44
2010-09,SPACEBOY LUNCH BOX ,2723.7999999999997
2010-09,3 HEARTS HANGING DECORATION RUSTIC,2660.75
2010-09,BROCADE RING PURSE ,2640.11
2010-09,SET 7 BABUSHKA NESTING BOXES,2572.06
2010-09,CARDHOLDER HOLLY WREATH METAL,2557.83
2010-09,DOORMAT UNION FLAG,2532.59
2010-09,PLASTERS IN TIN STRONGMAN,2517.87
2010-09,STRAWBERRY CERAMIC TRINKET BOX,2506.14
2010-09,DOLLY GIRL LUNCH BOX,2495.7
2010-09,WOODEN FRAME ANTIQUE WHITE ,2494.5800000000004
2010-09,ROSES REGENCY TEACUP AND SAUCER ,2449.92
2010-09,PLASTERS IN TIN CIRCUS PARADE ,2447.41
2010-09,GLASS JAR DIGESTIVE BISCUITS,2440.4
2010-09,RED TOADSTOOL LED NIGHT LIGHT,2433.1
2010-10,Manual,52738.38
2010-10,REGENCY CAKESTAND 3 TIER,23904.01
2010-10,WHITE HANGING HEART T-LIGHT HOLDER,12829.41
2010-10,ASSORTED COLOUR BIRD ORNAMENT,9431.3
2010-10,ROTATING SILVER ANGELS T-LIGHT HLDR,8908.08
2010-10,PAPER CHAIN KIT 50'S CHRISTMAS ,8447.92
2010-10,JUMBO BAG RED RETROSPOT,8172.34
2010-10,DOTCOM POSTAGE,7071.43
2010-10,PAPER CHAIN KIT VINTAGE CHRISTMAS,7008.570000000001
2010-10,COLOUR GLASS. STAR T-LIGHT HOLDER,6697.41
2010-10,POSTAGE,6678.78
2010-10,RED HANGING HEART T-LIGHT HOLDER,5597.3
2010-10,CHILLI LIGHTS,5427.89
2010-10,BLACK RECORD COVER FRAME,5266.74
2010-10,WOODEN BOX ADVENT CALENDAR ,5191.53
2010-10,HOT WATER BOTTLE TEA AND SYMPATHY,4864.7300000000005
2010-10,SET OF 6 RIBBONS VINTAGE CHRISTMAS,4621.150000000001
2010-10,CHOCOLATE HOT WATER BOTTLE,4549.28
2010-10,VINTAGE UNION JACK MEMOBOARD,4403.009999999999
2010-10,SET 7 BABUSHKA NESTING BOXES,4351.74
2010-10,PARTY BUNTING,4182.11
2010-10,SCOTTIE DOG HOT WATER BOTTLE,3934.59
2010-10,SMALL POPCORN HOLDER,3916.92
2010-10,"MIRROR, ARCHED GEORGIAN",3884.000000000001
2010-10,HEART OF WICKER LARGE,3740.4700000000003
2010-10,EDWARDIAN PARASOL BLACK,3702.94
2010-10,JUMBO  BAG BAROQUE BLACK WHITE,3682.39
2010-10,CANDLEHOLDER PINK HANGING HEART,3642.91
2010-10,WOOD BLACK BOARD ANT WHITE FINISH,3627.89
2010-10,RETROSPOT TEA SET CERAMIC 11 PC ,3556.42
2010-10,STRAWBERRY CERAMIC TRINKET BOX,3415.4700000000003
2010-10,CREAM HEART CARD HOLDER,3371.09
2010-10,GRAND CHOCOLATECANDLE,3309.52
2010-10,RED RETROSPOT CAKE STAND,3286.2599999999998
2010-10,3 HEARTS HANGING DECORATION RUSTIC,3220.36
2010-10,CHRISTMAS LIGHTS 10 REINDEER,3144.96
2010-10,FAWN BLUE HOT WATER BOTTLE,3089.84
2010-10,KEY CABINET MA CAMPAGNE,3065.22
2010-10,RED WOOLLY HOTTIE WHITE HEART.,3043.33
2010-10,HOT WATER BOTTLE I AM SO POORLY,3013.7400000000002
2010-10,HAND WARMER SCOTTY DOG DESIGN,3011.9900000000002
2010-10,JUMBO SHOPPER VINTAGE RED PAISLEY,2997.62
2010-10,PACK OF 72 RETROSPOT CAKE CASES,2970.1
2010-10,RED RETROSPOT UMBRELLA,2957.5299999999997
2010-10,WOODEN ADVENT CALENDAR CREAM,2952.75
2010-10,HAND WARMER UNION JACK,2936.55
2010-10,SET/4 WHITE RETRO STORAGE CUBES ,2832.4500000000003
2010-10,PINK CREAM FELT CRAFT TRINKET BOX ,2773.92
2010-10,JUMBO BAG STRAWBERRY,2771.61
2010-10,HAND WARMER BIRD DESIGN,2761.84
2010-11,PAPER CHAIN KIT 50'S CHRISTMAS ,28341.81
2010-11,REGENCY CAKESTAND 3 TIER,28151.329999999998
2010-11,ROTATING SILVER ANGELS T-LIGHT HLDR,25710.94
2010-11,WHITE HANGING HEART T-LIGHT HOLDER,18445.75
2010-11,DOTCOM POSTAGE,15289.92
2010-11,ASSORTED COLOUR BIRD ORNAMENT,14626.470000000001
2010-11,PAPER CHAIN KIT VINTAGE CHRISTMAS,14276.220000000001
2010-11,JUMBO BAG RED RETROSPOT,11469.82
2010-11,SMALL POPCORN HOLDER,10291.52
2010-11,HAND WARMER OWL DESIGN,9620.68
2010-11,HAND WARMER SCOTTY DOG DESIGN,9345.34
2010-11,3 HEARTS HANGING DECORATION RUSTIC,9225.91
2010-11,POSTAGE,8167.88
2010-11,CHOCOLATE HOT WATER BOTTLE,8019.99
2010-11,HAND WARMER BIRD DESIGN,7991.47
2010-11,HOT WATER BOTTLE BABUSHKA ,7981.31
2010-11,CHILLI LIGHTS,7520.18
2010-11,SET OF 6 RIBBONS VINTAGE CHRISTMAS,7366.06
2010-11,HOT WATER BOTTLE TEA AND SYMPATHY,7306.35
2010-11,SCOTTIE DOG HOT WATER BOTTLE,7203.34
2010-11,AMAZON FEE,6706.71
2010-11,RED WOOLLY HOTTIE WHITE HEART.,6376.8
2010-11,ANTIQUE SILVER TEA GLASS ETCHED,5903.18
2010-11,VINTAGE UNION JACK MEMOBOARD,5580.549999999999
2010-11,HEART OF WICKER LARGE,5513.570000000001
2010-11,WHITE SKULL HOT WATER BOTTLE ,5466.37
2010-11,SET 7 BABUSHKA NESTING BOXES,5300.34
2010-11,VICTORIAN GLASS HANGING T-LIGHT,5292.31
2010-11,15CM CHRISTMAS GLASS BALL 20 LIGHTS,5025.84
2010-11,HOT WATER BOTTLE I AM SO POORLY,4998.52
2010-11,PARTY CONE CHRISTMAS DECORATION ,4907.13
2010-11,DOORMAT UNION FLAG,4887.0199999999995
2010-11,NATURAL SLATE HEART CHALKBOARD ,4869.5
2010-11,RETROSPOT HEART HOT WATER BOTTLE,4817.34
2010-11,CHRISTMAS LIGHTS 10 REINDEER,4795.2
2010-11,COLOUR GLASS. STAR T-LIGHT HOLDER,4783.34
2010-11,60 CAKE CASES VINTAGE CHRISTMAS,4769.3
2010-11,JUMBO SHOPPER VINTAGE RED PAISLEY,4759.52
2010-11,KNITTED UNION FLAG HOT WATER BOTTLE,4753.25
2010-11,HAND WARMER UNION JACK,4671.0
2010-11,BLACK RECORD COVER FRAME,4620.06
2010-11,JUMBO BAG PINK POLKADOT,4590.74
2010-11,JUMBO STORAGE BAG SUKI,4575.400000000001
2010-11,RETROSPOT TEA SET CERAMIC 11 PC ,4565.78
2010-11,HAND WARMER RED RETROSPOT,4398.25
2010-11,SPACEBOY LUNCH BOX ,4365.24
2010-11,CHRISTMAS TOILET ROLL,4345.27
2010-11,WOOD BLACK BOARD ANT WHITE FINISH,4251.2
2010-11,BOX OF VINTAGE ALPHABET BLOCKS,4236.03
2010-11,DOLLY GIRL LUNCH BOX,4170.95
2010-12,REGENCY CAKESTAND 3 TIER,41348.94
2010-12,DOTCOM POSTAGE,37474.56
2010-12,AMAZON FEE,27082.66
2010-12,WHITE HANGING HEART T-LIGHT HOLDER,16826.35
2010-12,PAPER CHAIN KIT 50'S CHRISTMAS ,14483.15
2010-12,RED WOOLLY HOTTIE WHITE HEART.,13777.32
2010-12,VINTAGE UNION JACK MEMOBOARD,13680.38
2010-12,WOOD BLACK BOARD ANT WHITE FINISH,12881.06
2010-12,HOT WATER BOTTLE TEA AND SYMPATHY,12307.970000000001
2010-12,CHILLI LIGHTS,12123.119999999999
2010-12,WHITE SKULL HOT WATER BOTTLE ,11709.61
2010-12,CREAM HEART CARD HOLDER,10971.6
2010-12,BLACK RECORD COVER FRAME,10400.97
2010-12,BLACK HEART CARD HOLDER,10285.16
2010-12,CHOCOLATE HOT WATER BOTTLE,9994.460000000001
2010-12,ROTATING SILVER ANGELS T-LIGHT HLDR,9826.98
2010-12,KNITTED UNION FLAG HOT WATER BOTTLE,9074.98
2010-12,ROUND SNACK BOXES SET OF 4 FRUITS ,9066.75
2010-12,PAPER CHAIN KIT VINTAGE CHRISTMAS,8041.46
2010-12,SCOTTIE DOG HOT WATER BOTTLE,7431.62
2010-12,HOT WATER BOTTLE BABUSHKA ,7417.5
2010-12,HAND WARMER BIRD DESIGN,6964.84
2010-12,SET 7 BABUSHKA NESTING BOXES,6938.620000000001
2010-12,VICTORIAN SEWING BOX LARGE,6800.58
2010-12,JUMBO BAG RED RETROSPOT,6585.95
2010-12,ASSORTED COLOUR BIRD ORNAMENT,6492.71
2010-12,POSTAGE,6345.0
2010-12,HAND WARMER BABUSHKA DESIGN,6274.1
2010-12,BOX OF VINTAGE ALPHABET BLOCKS,5939.47
2010-12,HEART OF WICKER LARGE,5567.81
2010-12,HEART OF WICKER SMALL,5546.5
2010-12,ANTIQUE SILVER TEA GLASS ETCHED,5184.85
2010-12,UTILTY CABINET WITH HOOKS,5153.63
2010-12,RETROSPOT HEART HOT WATER BOTTLE,5012.77
2010-12,HOT WATER BOTTLE I AM SO POORLY,4931.8
2010-12,CHARLOTTE BAG SUKI DESIGN,4808.24
2010-12,HALL CABINET WITH 3 DRAWERS,4807.259999999999
2010-12,RED  HARMONICA IN BOX ,4600.68
2010-12,FAWN BLUE HOT WATER BOTTLE,4517.38
2010-12,DOORMAT RED RETROSPOT,4377.21
2010-12,LUNCH BOX I LOVE LONDON,4376.03
2010-12,WOODEN FRAME ANTIQUE WHITE ,4235.18
2010-12,HAND WARMER SCOTTY DOG DESIGN,4145.04
2010-12,DELUXE SEWING KIT ,4029.76
2010-12,JAM MAKING SET PRINTED,4024.1
2010-12,HAND WARMER OWL DESIGN,4012.34
2010-12,SMALL POPCORN HOLDER,3998.93
2010-12,JAM MAKING SET WITH JARS,3987.73
2010-12,HAND WARMER UNION JACK,3909.92
2010-12,RED TOADSTOOL LED NIGHT LIGHT,3899.31
2011-01,MEDIUM CERAMIC TOP STORAGE JAR,77183.6
2011-01,WHITE HANGING HEART T-LIGHT HOLDER,15276.25
2011-01,DOTCOM POSTAGE,13921.82
2011-01,REGENCY CAKESTAND 3 TIER,12800.599999999999
2011-01,FAIRY CAKE FLANNEL ASSORTED COLOUR,6870.410000000001
2011-01,CHILLI LIGHTS,5901.13
2011-01,HEART OF WICKER LARGE,5600.610000000001
2011-01,HEART OF WICKER SMALL,5214.74
2011-01,DOORMAT FAIRY CAKE,5206.23
2011-01,SET OF 3 CAKE TINS PANTRY DESIGN ,5153.57
2011-01,POSTAGE,5138.43
2011-01,JUMBO BAG RED RETROSPOT,5047.65
2011-01,RED HANGING HEART T-LIGHT HOLDER,4807.62
2011-01,GIN + TONIC DIET METAL SIGN,4572.16
2011-01,VINTAGE UNION JACK BUNTING,3923.79
2011-01,TEA TIME TEA TOWELS ,3314.9999999999995
2011-01,RED 3 PIECE RETROSPOT CUTLERY SET,3136.61
2011-01,ASSORTED COLOUR BIRD ORNAMENT,2920.59
2011-01,JAM MAKING SET WITH JARS,2865.34
2011-01,PINK 3 PIECE POLKADOT CUTLERY SET,2830.93
2011-01,SET OF 6 SPICE TINS PANTRY DESIGN,2823.13
2011-01,JUMBO BAG STRAWBERRY,2574.57
2011-01,SPACEBOY LUNCH BOX ,2571.62
2011-01,JUMBO STORAGE BAG SUKI,2464.46
2011-01,BLUE 3 PIECE POLKADOT CUTLERY SET,2410.4500000000003
2011-01,NATURAL SLATE HEART CHALKBOARD ,2404.4700000000003
2011-01,ROUND SNACK BOXES SET OF4 WOODLAND ,2321.4
2011-01,DOORMAT RED RETROSPOT,2304.08
2011-01,PARTY BUNTING,2288.36
2011-01,LUNCH BAG RED RETROSPOT,2242.25
2011-01,PLASTERS IN TIN SPACEBOY,2228.5099999999998
2011-01,JUMBO BAG PINK POLKADOT,2212.12
2011-01,WOOD BLACK BOARD ANT WHITE FINISH,2100.09
2011-01,CHARLOTTE BAG SUKI DESIGN,2067.67
2011-01,JAM MAKING SET PRINTED,2059.75
2011-01,DOLLY GIRL LUNCH BOX,2026.1299999999999
2011-01,RECYCLING BAG RETROSPOT ,2017.8700000000001
2011-01,LOVE BUILDING BLOCK WORD,1999.94
2011-01,CREAM SWEETHEART MINI CHEST,1978.59
2011-01,VINTAGE RED KITCHEN CABINET,1920.0
2011-01,HOME BUILDING BLOCK WORD,1882.7
2011-01,DOORMAT NEW ENGLAND,1857.81
2011-01,JUMBO BAG PINK VINTAGE PAISLEY,1850.1
2011-01,SCOTTIE DOG HOT WATER BOTTLE,1848.93
2011-01,SET/4 WHITE RETRO STORAGE CUBES ,1779.38
2011-01,VICTORIAN GLASS HANGING T-LIGHT,1771.76
2011-01,3 TIER CAKE TIN RED AND CREAM,1681.14
2011-01,PACK OF 72 RETROSPOT CAKE CASES,1676.01
2011-01,JUMBO  BAG BAROQUE BLACK WHITE,1643.72
2011-01,SET OF 16 VINTAGE PISTACHIO CUTLERY,1639.87
2011-02,REGENCY CAKESTAND 3 TIER,11009.49
2011-02,DOTCOM POSTAGE,10060.57
2011-02,VINTAGE UNION JACK MEMOBOARD,6810.39
2011-02,JUMBO BAG RED RETROSPOT,5617.24
2011-02,WHITE HANGING HEART T-LIGHT HOLDER,5140.110000000001
2011-02,PARTY BUNTING,4347.900000000001
2011-02,GROW A FLYTRAP OR SUNFLOWER IN TIN,3799.1099999999997
2011-02,CHILLI LIGHTS,3616.25
2011-02,SET OF 3 CAKE TINS PANTRY DESIGN ,3498.67
2011-02,EMPIRE DESIGN ROSETTE,3302.92
2011-02,VINTAGE UNION JACK BUNTING,3267.76
2011-02,POSTAGE,3166.0
2011-02,CREAM HEART CARD HOLDER,3013.78
2011-02,JAM MAKING SET WITH JARS,2783.88
2011-02,ASSORTED COLOUR BIRD ORNAMENT,2736.35
2011-02,SET OF 6 SPICE TINS PANTRY DESIGN,2454.67
2011-02,BLACK RECORD COVER FRAME,2369.1800000000003
2011-02,HEART OF WICKER SMALL,2210.63
2011-02,SMALL POPCORN HOLDER,2127.0
2011-02,SPACEBOY LUNCH BOX ,2105.96
2011-02,HEART OF WICKER LARGE,2103.34
2011-02,WOOD BLACK BOARD ANT WHITE FINISH,2065.71
2011-02,JUMBO STORAGE BAG SUKI,2056.24
2011-02,GREEN REGENCY TEACUP AND SAUCER,2043.9
2011-02,LUNCH BAG RED RETROSPOT,2029.12
2011-02,WOODEN FRAME ANTIQUE WHITE ,2018.02
2011-02,JUMBO BAG PINK POLKADOT,1972.83
2011-02,ROSES REGENCY TEACUP AND SAUCER ,1966.6000000000001
2011-02,PINK REGENCY TEACUP AND SAUCER,1931.8600000000001
2011-02,HOMEMADE JAM SCENTED CANDLES,1916.8999999999999
2011-02,DOLLY GIRL LUNCH BOX,1844.82
2011-02,JUMBO BAG STRAWBERRY,1833.27
2011-02,CHARLOTTE BAG SUKI DESIGN,1830.17
2011-02,RED 3 PIECE RETROSPOT CUTLERY SET,1799.32
2011-02,ASSORTED COLOUR MINI CASES,1782.43
2011-02,PAPER CHAIN KIT EMPIRE,1781.68
2011-02,RED TOADSTOOL LED NIGHT LIGHT,1734.39
2011-02,PAPER BUNTING WHITE LACE,1728.93
2011-02,ROUND SNACK BOXES SET OF4 WOODLAND ,1713.89
2011-02,JAM MAKING SET PRINTED,1711.3799999999999
2011-02,DOORMAT UNION FLAG,1703.28
2011-02,JUMBO BAG OWLS,1690.62
2011-02,JUMBO  BAG BAROQUE BLACK WHITE,1656.21
2011-02,IVORY KITCHEN SCALES,1655.72
2011-02,NATURAL SLATE HEART CHALKBOARD ,1627.5000000000002
2011-02,HOME BUILDING BLOCK WORD,1616.21
2011-02,RECIPE BOX PANTRY YELLOW DESIGN,1611.5400000000002
2011-02,VICTORIAN GLASS HANGING T-LIGHT,1608.34
2011-02,MEMO BOARD RETROSPOT  DESIGN,1607.19
2011-02,ASSORTED COLOURS SILK FAN,1586.36
2011-03,REGENCY CAKESTAND 3 TIER,18372.0
2011-03,DOTCOM POSTAGE,11829.71
2011-03,JUMBO BAG RED RETROSPOT,10118.38
2011-03,PARTY BUNTING,9123.02
2011-03,Manual,8236.380000000001
2011-03,JUMBO BAG STRAWBERRY,5853.8
2011-03,WHITE HANGING HEART T-LIGHT HOLDER,5597.900000000001
2011-03,POSTAGE,5337.57
2011-03,VINTAGE UNION JACK BUNTING,5299.33
2011-03,JUMBO BAG PINK POLKADOT,5079.29
2011-03,PAPER CHAIN KIT EMPIRE,4745.950000000001
2011-03,JAM MAKING SET WITH JARS,4396.11
2011-03,JUMBO BAG PINK VINTAGE PAISLEY,4309.4400000000005
2011-03,ASSORTED COLOUR BIRD ORNAMENT,4302.7
2011-03,SET OF 3 CAKE TINS PANTRY DESIGN ,4192.95
2011-03,VICTORIAN GLASS HANGING T-LIGHT,3753.56
2011-03,WOODEN UNION JACK BUNTING,3623.9
2011-03,CREAM SWEETHEART MINI CHEST,3507.5600000000004
2011-03,JUMBO  BAG BAROQUE BLACK WHITE,3507.18
2011-03,LUNCH BOX I LOVE LONDON,3248.89
2011-03,SPACEBOY LUNCH BOX ,3142.37
2011-03,CHILLI LIGHTS,3093.05
2011-03,WOOD BLACK BOARD ANT WHITE FINISH,3088.75
2011-03, SET 2 TEA TOWELS I LOVE LONDON ,3053.63
2011-03,SMALL POPCORN HOLDER,3032.81
2011-03,DOLLY GIRL LUNCH BOX,2967.47
2011-03,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2900.64
2011-03,JAM MAKING SET PRINTED,2890.89
2011-03,JUMBO BAG OWLS,2865.36
2011-03,SET OF 6 SPICE TINS PANTRY DESIGN,2799.9900000000002
2011-03,LUNCH BAG RED RETROSPOT,2742.42
2011-03,VINTAGE UNION JACK MEMOBOARD,2741.22
2011-03,JUMBO BAG WOODLAND ANIMALS,2711.44
2011-03,EDWARDIAN PARASOL NATURAL,2708.6800000000003
2011-03,NATURAL SLATE HEART CHALKBOARD ,2699.8500000000004
2011-03,PLEASE ONE PERSON METAL SIGN,2637.59
2011-03,CHARLOTTE BAG SUKI DESIGN,2574.13
2011-03,DOORMAT UNION FLAG,2546.48
2011-03,HANGING HEART JAR T-LIGHT HOLDER,2536.37
2011-03,JUMBO STORAGE BAG SUKI,2512.59
2011-03,JUMBO BAG SPACEBOY DESIGN,2511.5099999999998
2011-03,HOMEMADE JAM SCENTED CANDLES,2430.19
2011-03,SET OF 4 PANTRY JELLY MOULDS,2376.03
2011-03,JUMBO SHOPPER VINTAGE RED PAISLEY,2328.54
2011-03,PACK OF 72 RETROSPOT CAKE CASES,2293.5299999999997
2011-03,ROSES REGENCY TEACUP AND SAUCER ,2264.98
2011-03,ASSORTED COLOURS SILK FAN,2251.52
2011-03, SPACEBOY BABY GIFT SET,2244.8399999999997
2011-03,RED RETROSPOT ROUND CAKE TINS,2216.2799999999997
2011-03,WOODEN FRAME ANTIQUE WHITE ,2172.53
2011-04,REGENCY CAKESTAND 3 TIER,14812.949999999999
2011-04,PARTY BUNTING,10778.470000000001
2011-04,Manual,10108.5
2011-04,WHITE HANGING HEART T-LIGHT HOLDER,10017.789999999999
2011-04,DOTCOM POSTAGE,7535.38
2011-04,PAPER CHAIN KIT EMPIRE,6637.21
2011-04,FAIRY CAKE FLANNEL ASSORTED COLOUR,6625.68
2011-04,DOORMAT FAIRY CAKE,4961.5
2011-04,JUMBO BAG RED RETROSPOT,4878.08
2011-04,GIN + TONIC DIET METAL SIGN,4612.54
2011-04,WOODEN UNION JACK BUNTING,4191.03
2011-04,ASSORTED COLOUR BIRD ORNAMENT,4174.24
2011-04,PAPER BUNTING WHITE LACE,3579.69
2011-04,POSTAGE,3409.95
2011-04,ALARM CLOCK BAKELIKE RED ,3054.79
2011-04,GROW A FLYTRAP OR SUNFLOWER IN TIN,2916.45
2011-04,TEA TIME TEA TOWELS ,2730.0
2011-04,PAPER BUNTING RETROSPOT,2531.62
2011-04,JUMBO BAG APPLES,2504.01
2011-04,PICNIC BASKET WICKER LARGE,2421.66
2011-04,ALARM CLOCK BAKELIKE PINK,2409.67
2011-04,LUNCH BAG RED RETROSPOT,2406.94
2011-04,VICTORIAN GLASS HANGING T-LIGHT,2313.2
2011-04,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2290.89
2011-04,DOORMAT UNION FLAG,2253.77
2011-04,JAM MAKING SET WITH JARS,2154.98
